,ICA_contribution,reconstruction_error,combined_score
enmo_max,0.07014936812745566,0.0017492127111982533,0.6153216577323106
enmo_mean,0.06219482385459694,0.001025672703442794,0.5111352804662349
enmo_mean_0_6h,0.05719968060302157,0.0001930464054987423,0.6451937554956765
enmo_mean_12_18h,0.05590491517104455,0.014606205369750956,0.35851934306589905
enmo_mean_18_24h,0.06071562162157186,0.004411892525515731,0.5460228197920416
enmo_mean_6_12h,0.05278023961554864,0.009829916127454586,0.42577473778242403
enmo_median,0.051808051029181554,0.015295383199363981,0.31403394697029485
enmo_min,1.4619324665372275e-08,2.136493967869653e-13,0.400000070520586
enmo_q1,0.053297045553052334,0.0042946715605896146,0.549129550733362
enmo_q3,0.060724101348436074,0.0048399018945647744,0.47382596913190245
enmo_std,0.057160622544124726,0.017092032927238657,0.3048688154192738
high_activity_percentage,0.06013208050900628,0.012096237674947002,0.41777469537335865
inactive_percentage,0.05999291610506137,0.00652583869122475,0.4486580152141265
light_iqr,0.09037365768955638,2.2990581296394742e-05,0.5680102894507187
light_max,0.36564898994088846,2.2504452371278102e-06,0.7932027247887089
light_mean,0.06549411832719192,0.007669828324168134,0.4739826203139914
light_median,0.07040101400715928,0.00013220440065960429,0.6097971066586029
light_min,1.9948896785503357e-19,1.1773250588107341e-35,0.4
light_q1,0.09638837757747297,2.683717864508441e-05,0.6049864648963384
light_q3,0.08527940675192916,1.927158436386351e-05,0.5581150397198529
light_std,0.04648539693825616,0.015829604588810615,0.3023925146712397
moderate_activity_percentage,0.05864754372084716,0.009290467051375446,0.41671037928015237
wear_percentage,0.04955400752443298,0.005934674949474694,0.5096188976894032
